prefix,tal,peer_ip,roa_create_time,withdrawal_time,delta
2803:ffe0::/32,lacnic,2001:7f8:1::a504:7957:1,2021-03-24 03:00:00,2021-03-24 03:04:31,271
2803:ffe0::/32,lacnic,2001:7f8:1::a503:8880:1,2021-03-24 03:00:00,2021-03-24 03:04:47,287
2803:ffe0::/32,lacnic,2001:7f8:1::a500:293:1,2021-03-24 03:00:00,2021-03-24 03:05:06,306
2803:ffe0::/32,lacnic,2001:504:40:108::1:11,2021-03-24 03:00:00,2021-03-24 03:04:29,269
2803:ffe0::/32,lacnic,2001:504:40:108::1:115,2021-03-24 03:00:00,2021-03-24 03:04:46,286
2803:ffe0::/32,lacnic,2001:504:40:108::1:66,2021-03-24 03:00:00,2021-03-24 03:04:53,293
2803:ffe0::/32,lacnic,2001:43f8:6d0::60,2021-03-24 03:00:00,2021-03-24 03:04:28,268
2803:ffe0::/32,lacnic,2001:12f8:0:2::54:171,2021-03-24 03:00:00,2021-03-24 03:04:25,265
2803:ffe0::/32,lacnic,2001:12f8:0:2::53:106,2021-03-24 03:00:00,2021-03-24 03:05:24,324
2803:ffe0::/32,lacnic,2a0b:5cc0:0:ffff::254,2021-03-24 03:00:00,2021-03-24 03:00:08,8
2803:ffe0::/32,lacnic,2a09:4c0:100:5eb1::7afb,2021-03-24 03:00:00,2021-03-24 03:00:57,57
2803:ffe0::/32,lacnic,2a09:4c0:100:5eb1::7ae9,2021-03-24 03:00:00,2021-03-24 03:01:05,65
2803:ffe0::/32,lacnic,49.12.70.222,2021-03-24 03:00:00,2021-03-24 03:01:56,116
2803:ffe0::/32,lacnic,2a01:4f8:c17:ec87::310c:46de,2021-03-24 03:00:00,2021-03-24 03:01:56,116
2803:ffe0::/32,lacnic,2001:7f8:e7:c232::63fe,2021-03-24 03:00:00,2021-03-24 03:01:56,116
2803:ffe0::/32,lacnic,194.50.99.254,2021-03-24 03:00:00,2021-03-24 03:01:56,116
2803:ffe0::/32,lacnic,2604:fbc0:1:1::,2021-03-24 03:00:00,2021-03-24 03:04:25,265
2803:ffe0::/32,lacnic,2001:67c:21ec:5000:5800:ff:fe7e:6ded,2021-03-24 03:00:00,2021-03-24 03:04:30,270
2803:ffe0::/32,lacnic,2a0b:3b00::4,2021-03-24 03:00:00,2021-03-24 03:04:38,278
2803:ffe0::/32,lacnic,2a0b:cbc0:2::1,2021-03-24 03:00:00,2021-03-24 03:04:41,281
2803:ffe0::/32,lacnic,2406:f400:8:34::1,2021-03-24 03:00:00,2021-03-24 03:04:43,283
2803:ffe0::/32,lacnic,2a06:e881:2000:7::1,2021-03-24 03:00:00,2021-03-24 03:04:47,287
2803:ffe0::/32,lacnic,2a00:1e68:112::1,2021-03-24 03:00:00,2021-03-24 03:04:47,287
2803:ffe0::/32,lacnic,2003:0:f000:4000::1,2021-03-24 03:00:00,2021-03-24 03:04:47,287
2803:ffe0::/32,lacnic,2a0e:fd40:1::1,2021-03-24 03:00:00,2021-03-24 03:04:49,289
2803:ffe0::/32,lacnic,2a0c:b642:fc0::1,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,2405:fc00::6,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,2a0c:9a40:1::612,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,165.16.221.66,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,2c0f:ee00::98:210,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,2a07:59c6:ee00:9589::1,2021-03-24 03:00:00,2021-03-24 03:04:50,290
2803:ffe0::/32,lacnic,2001:67c:24c::c,2021-03-24 03:00:00,2021-03-24 03:04:51,291
2803:ffe0::/32,lacnic,2a07:1c44:3100::1,2021-03-24 03:00:00,2021-03-24 03:04:51,291
2803:ffe0::/32,lacnic,2405:3200:0:23::,2021-03-24 03:00:00,2021-03-24 03:04:54,294
2803:ffe0::/32,lacnic,2604:1380:4111:b101::135,2021-03-24 03:00:00,2021-03-24 03:04:57,297
2803:ffe0::/32,lacnic,2001:7f8:4::6248:1,2021-03-24 03:00:00,2021-03-24 03:04:26,266
2803:ffe0::/32,lacnic,2001:7f8:4::1d41:1,2021-03-24 03:00:00,2021-03-24 03:04:26,266
2803:ffe0::/32,lacnic,2001:7f8:4::e2c9:1,2021-03-24 03:00:00,2021-03-24 03:04:26,266
2803:ffe0::/32,lacnic,2001:7f8:4::3:28c4:1,2021-03-24 03:00:00,2021-03-24 03:04:33,273
2803:ffe0::/32,lacnic,2001:7f8:4::cf8:1,2021-03-24 03:00:00,2021-03-24 03:04:38,278
2803:ffe0::/32,lacnic,2001:7f8:17::201a:1,2021-03-24 03:00:00,2021-03-24 03:04:49,289
2803:ffe0::/32,lacnic,2001:7f8:4::7992:1,2021-03-24 03:00:00,2021-03-24 03:04:57,297
2803:ffe0::/32,lacnic,2001:678:254:1::1,2021-03-24 03:00:00,2021-03-24 03:05:37,337
2803:ffe0::/32,lacnic,2a00:1ca8:2a::e0,2021-03-24 03:00:00,2021-03-24 03:06:03,363
2803:ffe0::/32,lacnic,2001:7f8:17::903c:1,2021-03-24 03:00:00,2021-03-24 03:05:18,318
2803:ffe0::/32,lacnic,2001:7f8:4::22c0:1,2021-03-24 03:00:00,2021-03-24 03:06:53,413
2803:ffe0::/32,lacnic,2001:7f8:17::1aee:1,2021-03-24 03:00:00,2021-03-24 03:10:49,649
2803:ffe0::/32,lacnic,2a02:47a0:a::1,2021-03-24 03:00:00,2021-03-24 03:16:44,1004
2803:ffe0::/32,lacnic,2001:7f8:1::a503:9120:1,2021-03-24 03:00:00,2021-03-24 03:44:58,2698
2803:ffe0::/32,lacnic,2604:fbc0:1:1::,2021-03-24 14:36:08,2021-03-24 14:40:07,239
2803:ffe0::/32,lacnic,2a00:1e68:112::1,2021-03-24 14:36:08,2021-03-24 14:40:10,242
2803:ffe0::/32,lacnic,165.16.221.66,2021-03-24 14:36:08,2021-03-24 14:40:11,243
2803:ffe0::/32,lacnic,2c0f:ee00::98:210,2021-03-24 14:36:08,2021-03-24 14:40:11,243
2803:ffe0::/32,lacnic,2405:fc00::6,2021-03-24 14:36:08,2021-03-24 14:40:11,243
2803:ffe0::/32,lacnic,2405:3200:0:23::,2021-03-24 14:36:08,2021-03-24 14:40:15,247
