prefix,origin_asn
2.18.11.0/24,20940
8.8.4.0/24,15169
8.8.8.0/24,15169
8.34.208.0/21,15169
8.34.216.0/21,15169
8.35.192.0/21,15169
8.35.200.0/21,15169
9.9.9.0/24,19281
23.4.87.0/24,20940
23.208.31.0/24,327952
23.236.48.0/20,15169
23.251.128.0/19,15169
35.184.0.0/13,15169
35.184.0.0/19,15169
35.184.32.0/19,15169
35.184.64.0/19,15169
35.184.96.0/19,15169
35.184.128.0/19,15169
35.184.160.0/19,15169
35.184.192.0/19,15169
35.184.224.0/19,15169
35.185.0.0/19,15169
35.185.32.0/19,15169
35.185.64.0/19,15169
35.185.96.0/19,15169
35.185.128.0/19,15169
35.185.160.0/19,15169
35.185.192.0/19,15169
35.185.224.0/19,15169
35.186.0.0/16,15169
35.186.0.0/19,15169
35.186.32.0/19,15169
35.186.64.0/19,15169
35.186.96.0/19,15169
35.186.128.0/19,15169
35.186.160.0/19,15169
35.187.0.0/19,15169
35.187.32.0/19,15169
35.187.64.0/19,15169
35.187.96.0/19,15169
35.187.128.0/19,15169
35.187.160.0/19,15169
35.187.192.0/19,15169
35.187.224.0/19,15169
35.188.0.0/19,15169
35.188.32.0/19,15169
35.188.64.0/19,15169
35.188.96.0/19,15169
35.188.128.0/19,15169
35.188.160.0/19,15169
35.188.192.0/19,15169
35.188.224.0/19,15169
35.189.0.0/19,15169
35.189.32.0/19,15169
35.189.64.0/19,15169
35.189.96.0/19,15169
35.189.128.0/19,15169
35.189.160.0/19,15169
35.189.192.0/19,15169
35.189.224.0/19,15169
35.190.0.0/16,15169
35.190.128.0/19,15169
35.190.160.0/19,15169
35.190.192.0/19,15169
35.190.224.0/19,15169
35.192.0.0/13,15169
35.200.0.0/14,15169
35.204.0.0/15,15169
35.224.0.0/14,15169
35.228.0.0/14,15169
35.232.0.0/14,15169
35.236.0.0/14,15169
35.240.0.0/14,15169
35.244.0.0/14,15169
37.209.198.0/24,134387
41.56.0.0/16,33762
41.56.192.0/18,33762
41.57.64.0/20,36986
41.57.66.0/23,36986
41.57.96.0/20,36866
41.57.101.0/24,36866
41.57.102.0/23,36866
41.57.104.0/23,36866
41.57.106.0/23,36866
41.57.108.0/23,36866
41.57.109.0/24,36866
41.57.110.0/23,36866
41.57.111.0/24,36866
41.57.124.0/22,37442
41.57.125.0/24,37442
41.57.126.0/24,37442
41.57.127.0/24,37442
41.70.14.0/23,37098
41.70.16.0/20,37098
41.70.20.0/24,37098
41.70.64.0/21,37098
41.70.64.0/24,37098
41.71.0.0/18,37053
41.71.112.0/20,37053
41.71.116.0/24,64646
41.71.117.0/24,64646
41.71.124.0/22,36994
41.71.129.0/24,20598
41.72.96.0/19,37154
41.72.97.0/24,37154
41.72.100.0/24,37154
41.72.101.0/24,37154
41.72.104.0/21,37154
41.72.108.0/22,37154
41.72.120.0/21,37154
41.72.120.0/24,37154
41.72.121.0/24,37154
41.72.122.0/24,37154
41.72.123.0/24,37154
41.72.124.0/22,37154
41.73.32.0/19,37105
41.73.34.0/24,37105
41.73.51.0/24,37105
41.73.52.0/23,37515
41.73.53.0/24,37515
41.73.57.0/24,37105
41.73.58.0/24,37105
41.73.192.0/19,36930
41.73.224.0/24,16284
41.73.225.0/24,16284
41.73.226.0/24,16284
41.73.227.0/24,16284
41.73.228.0/24,16284
41.73.229.0/24,16284
41.73.230.0/24,16284
41.73.231.0/24,16284
41.73.232.0/24,16284
41.73.233.0/24,16284
41.73.234.0/24,16284
41.73.235.0/24,16284
41.73.236.0/24,16284
41.73.237.0/24,16284
41.73.238.0/24,16284
41.73.239.0/24,16284
41.73.240.0/24,16284
41.73.241.0/24,16284
41.73.242.0/24,16284
41.73.243.0/24,16284
41.73.244.0/24,36994
41.73.245.0/24,16284
41.73.246.0/24,16284
41.73.247.0/24,16284
41.73.248.0/24,16284
41.73.249.0/24,16284
41.73.250.0/24,16284
41.73.251.0/24,16284
41.73.252.0/24,16284
41.73.253.0/24,16284
41.74.30.0/24,37037
41.74.48.0/20,36963
41.74.160.0/20,37228
41.74.160.0/22,37228
41.74.164.0/22,37228
41.74.164.0/23,37228
41.74.172.0/22,37228
41.74.210.0/24,37037
41.75.160.0/20,37113
41.75.160.0/21,37113
41.75.160.0/22,37113
41.75.160.0/23,37113
41.75.160.0/24,37113
41.75.161.0/24,37113
41.75.162.0/23,37113
41.75.162.0/24,37113
41.75.163.0/24,37113
41.75.164.0/22,37113
41.75.164.0/23,37113
41.75.164.0/24,37113
41.75.165.0/24,37113
41.75.166.0/23,37113
41.75.166.0/24,37113
41.75.167.0/24,37113
41.75.168.0/21,37113
41.75.168.0/22,37113
41.75.168.0/23,37113
41.75.168.0/24,37113
41.75.169.0/24,37113
41.75.170.0/23,37113
41.75.170.0/24,37113
41.75.171.0/24,37113
41.75.172.0/22,37113
41.75.172.0/23,37113
41.75.172.0/24,37113
41.75.173.0/24,37113
41.75.174.0/23,37113
41.75.174.0/24,37113
41.75.175.0/24,37113
41.75.176.0/20,37044
41.75.176.0/21,37044
41.75.176.0/24,37044
41.75.177.0/24,37044
41.75.184.0/24,37044
41.75.192.0/24,16284
41.75.196.0/23,36994
41.75.199.0/24,16284
41.75.200.0/24,16284
41.75.201.0/24,16284
41.75.202.0/23,16284
41.75.203.0/24,16284
41.75.204.0/23,16284
41.75.205.0/24,16284
41.75.206.0/23,16284
41.75.208.0/20,37133
41.75.208.0/21,37133
41.75.210.0/24,37133
41.75.211.0/24,37133
41.75.221.0/24,37133
41.75.222.0/24,37133
41.75.223.0/24,37133
41.76.96.0/21,37334
41.76.168.0/21,37219
41.76.197.0/24,37280
