timebin,originasn_id,prefix,rpki_status
2021-07-01 00:00:00+00,27951,2803:ffe0::/32,Invalid
2021-07-01 00:00:00+00,42925,2a01:6500:a050::/46,"Invalid,more-specific"
2021-07-01 00:00:00+00,262234,2803:db00:a80::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,62588,2607:f790:fff0::/48,Invalid
2021-07-01 00:00:00+00,206607,2602:fed2:712e::/48,Invalid
2021-07-01 00:00:00+00,134461,2405:a000:20::/48,Invalid
2021-07-01 00:00:00+00,9587,2404:8d02:2040::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,137823,2402:dbc0:400f::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,64947,2401:4900:55c0::/45,Invalid
2021-07-01 00:00:00+00,64947,2401:4900:55c0::/44,Invalid
2021-07-01 00:00:00+00,134426,2401:4900:ef0::/44,Invalid
2021-07-01 00:00:00+00,263779,2400:cb00:258::/48,Invalid
2021-07-01 00:00:00+00,264684,2001:1388:8a42::/48,Invalid
2021-07-01 00:00:00+00,264684,2001:1388:8a0a::/48,Invalid
2021-07-01 00:00:00+00,16625,2001:41a8:45:200::/56,Invalid
2021-07-01 00:00:00+00,7725,2001:559:79::/48,Invalid
2021-07-01 00:00:00+00,7725,2001:559:81ac::/48,Invalid
2021-07-01 00:00:00+00,397601,2001:559:13b::/48,Invalid
2021-07-01 00:00:00+00,262589,2800:310:2::/48,Invalid
2021-07-01 00:00:00+00,1273,2001:5100:202::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,6453,2405:2000:fe00::/40,"Invalid,more-specific"
2021-07-01 00:00:00+00,6762,2001:41a8:27:300::/56,"Invalid,more-specific"
2021-07-01 00:00:00+00,6453,2001:5a0:9800::/38,"Invalid,more-specific"
2021-07-01 00:00:00+00,6453,2001:5a0:3b05::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,28884,2a02:28:5::/48,Invalid
2021-07-01 00:00:00+00,207044,2a03:5f00:108::/48,Invalid
2021-07-01 00:00:00+00,11796,2603:b0e0:feed::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,203361,2a06:f1c0::/30,"Invalid,more-specific"
2021-07-01 00:00:00+00,264684,2001:1388:8a63::/48,Invalid
2021-07-01 00:00:00+00,264684,2001:1388:8a09::/48,Invalid
2021-07-01 00:00:00+00,14522,2800:9a7:3010::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,264684,2001:1388:8a07::/48,Invalid
2021-07-01 00:00:00+00,264684,2001:1388:8a00::/48,Invalid
2021-07-01 00:00:00+00,6147,2001:1388:7bb0::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,140423,2406:20c0:8000::/34,"Invalid,more-specific"
2021-07-01 00:00:00+00,11796,2607:fe10:3000::/40,"Invalid,more-specific"
2021-07-01 00:00:00+00,9541,2400:adc0:4202::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,24218,2001:4498:4::/48,"Invalid,more-specific"
2021-07-01 00:00:00+00,6830,2a02:ab80::/28,Invalid
2021-07-01 00:00:00+00,39326,2a01:348:fab::/48,"Invalid,more-specific"
